tconst	titleType	primaryTitle	averageRating	numVotes	startYear	runtimeMinutes	genre1	genre2	genre3
tt0000005	short	Blacksmith Scene	6.2	2596	1893	1	Comedy	Short	NA
tt0000010	short	Leaving the Factory	6.9	7079	1895	1	Documentary	Short	NA
tt0000012	short	The Arrival of a Train	7.4	12128	1896	1	Documentary	Short	NA
tt0000013	short	The Photographical Congress Arrives in Lyon	5.7	1869	1895	1	Documentary	Short	NA
tt0000016	short	Boat Leaving the Port	5.9	1490	1895	1	Documentary	Short	NA
tt0000023	short	The Sea	5.7	1424	1895	1	Documentary	Short	NA
tt0000027	short	Cordeliers' Square in Lyon	5.6	1145	1895	1	Documentary	Short	NA
tt0000028	short	Fishing for Goldfish	5.1	1071	1895	1	Documentary	Short	NA
tt0000029	short	Baby's Meal	5.9	3330	1895	1	Documentary	Short	NA
tt0000031	short	Jumping the Blanket	5.5	999	1895	1	Documentary	Short	NA
tt0000033	short	Horse Trick Riders	5.5	1026	1895	1	Comedy	Documentary	Short
tt0000034	short	Arrivée d'un train gare de Vincennes	5	204	1896	1	Documentary	Short	NA
tt0000035	short	Watering the Flowers	5.6	82	1896	1	Comedy	Short	NA
tt0000070	short	Demolition of a Wall	6.4	2631	1896	1	Documentary	Short	NA
tt0000089	short	Leaving Jerusalem by Railway	6.2	995	1897	1	Documentary	Short	NA
tt0000091	short	The House of the Devil	6.7	3626	1896	3	Horror	Short	NA
tt0000117	short	Saída do Pessoal Operário da Fábrica Confiança	5.1	164	1896	1	Documentary	Short	NA
tt0000131	short	A Terrible Night	5.8	1401	1896	1	Comedy	Horror	Short
tt0000132	short	Card Party	5.1	1060	1896	1	Biography	Short	NA
tt0000140	short	Baignade dans le torrent	4.9	297	1897	1	Short	NA	NA
tt0000143	short	Les cambrioleurs	4.9	262	1897	1	Comedy	Short	NA
tt0000144	short	Chez le magnétiseur	5.1	314	1897	1	Comedy	Short	NA
tt0000156	short	A Badly Managed Hotel	3.4	24	1896	NA	Comedy	Short	NA
tt0000159	short	The Devil's Laboratory	5.2	127	1897	1	Horror	Short	NA
tt0000162	short	Niagara Falls	5.4	472	1897	1	Documentary	Short	NA
tt0000164	short	Le pêcheur dans le torrent	5	297	1897	1	Comedy	Short	NA
tt0000174	short	Výstavní párkar a lepic plakátù	4.6	129	1898	1	Comedy	Short	NA
tt0000211	short	The Astronomer's Dream; or, the Man in the Moon	7.4	4333	1898	3	Comedy	Fantasy	Horror
tt0000213	short	Scène d'escamotage	4.6	237	1898	1	Short	NA	NA
tt0000222	short	Au cabaret	4.6	237	1899	1	Comedy	Short	NA
tt0000228	short	La bonne absinthe	4.9	277	1899	1	Short	NA	NA
tt0000231	short	Portuguese Railway Train	2.6	19	1896	1	Documentary	Short	NA
tt0000235	short	Haggard's She: The Pillar of Fire	6.3	866	1899	1	Adventure	Fantasy	Horror
tt0000269	short	Army Life; or, How Soldiers Are Made: Mounted Infantry	4.8	134	1900	NA	Documentary	Short	NA
tt0000274	short	Avenue de l'opéra	5.6	254	1900	1	Comedy	Short	NA
tt0000286	short	Chirurgie fin de siècle	5.7	255	1900	2	Comedy	Short	NA
tt0000299	short	Le départ d'Arlequin et de Pierrette	5.6	263	1900	2	Short	NA	NA
tt0000302	short	La fée aux choux, ou la naissance des enfants	5.2	225	1900	1	Short	NA	NA
tt0000319	short	Maple Leaf Viewing	5.8	224	1899	6	Horror	Short	NA
tt0000359	short	The India Rubber Head	7.1	2964	1901	3	Comedy	Fantasy	Short
tt0000373	short	The Devil's Seven Castles	6.4	88	1902	11	Drama	Horror	Short
tt0000409	short	Midwife to the Upper Classes	5.1	238	1902	4	Comedy	Short	NA
tt0000417	short	A Trip to the Moon	8.2	51682	1902	13	Action	Adventure	Comedy
tt0000432	short	How Monsieur Takes His Bath	5.7	233	1903	1	Comedy	Short	NA
tt0000439	short	The Great Train Robbery	7.3	19810	1903	11	Action	Adventure	Crime
tt0000456	short	N.Y. Fire Department Returning	4	63	1903	NA	Documentary	Short	NA
tt0000465	short	The Kingdom of the Fairies	7.3	1641	1903	16	Adventure	Fantasy	Short
tt0000495	short	The Pearl Fisher	6	112	1907	12	Fantasy	Short	NA
tt0000499	short	The Impossible Voyage	7.5	3705	1904	24	Action	Adventure	Family
tt0000515	short	Los guapos del parque	4.8	95	1904	6	Comedy	Short	NA
tt0000525	short	Hanging at Jefferson City	5.4	52	1910	7	Short	Western	NA
tt0000543	short	Kong Christian d. IXs Bisættelse	4.8	17	1906	15	Documentary	Short	NA
tt0000574	movie	The Story of the Kelly Gang	6	818	1906	70	Action	Adventure	Biography
tt0000614	short	The Red Spectre	6.5	1107	1907	9	Fantasy	Horror	Short
tt0000618	short	Salaviinanpolttajat	8.5	15	1907	20	Comedy	Short	NA
tt0000658	short	The Puppet's Nightmare	6.5	245	1908	2	Animation	Short	NA
tt0000666	short	Corrida de toros con Antonio Fuentes	5.4	32	1908	25	Documentary	Short	Sport
tt0000682	short	A Fantasy	6.9	2596	1908	2	Animation	Comedy	Family
tt0000844	short	The Death of Ivan the Terrible	6.6	20	1909	NA	Drama	History	Short
tt0000873	short	Bakchisarayskiy fontan	5.8	11	1909	NA	Drama	Short	NA
tt0000941	movie	Locura de amor	4.5	24	1909	45	Drama	NA	NA
tt0000969	short	Les Misérables	6.4	25	1909	44	Drama	History	Short
tt0000987	short	How Brother Cook was Taught a Lesson	7.8	9	1910	15	Comedy	Short	NA
tt0001117	short	Cleopatra	5.4	15	1910	NA	Drama	History	Romance
tt0001122	movie	The Red Inn	5.4	20	1910	NA	NA	NA	NA
tt0001175	movie	Camille	5.2	42	1912	NA	Drama	Romance	NA
tt0001218	short	A Fallen Spirit	5.2	111	1910	6	Animation	Fantasy	Horror
tt0001258	short	The White Slave Trade	5.8	152	1910	33	Drama	Short	NA
tt0001280	short	Copenhagen by Night	4.9	32	1910	25	Short	NA	NA
tt0001338	movie	A Night in May	5.2	17	1910	NA	Drama	NA	NA
tt0001381	short	A Recruit from 64	5.7	39	1910	35	Drama	Short	War
tt0001440	movie	Valdemar Sejr	4.7	21	1910	NA	Drama	History	NA
tt0001488	short	The Hallucinations of Baron Munchausen	6.2	500	1911	11	Fantasy	Short	NA
tt0001527	short	The Cameraman's Revenge	7.7	2995	1912	12	Animation	Comedy	Fantasy
tt0001614	movie	The Four Devils	6.2	33	1911	60	Drama	NA	NA
tt0001680	short	His Trust: The Faithful Devotion and Self-Sacrifice of an Old Negro Servant	5.1	628	1911	14	Drama	Short	War
tt0001790	movie	Les Misérables, Part 1: Jean Valjean	6.2	51	1913	60	Drama	NA	NA
tt0001799	short	Moses Saved from the Waters	4.9	14	1911	NA	Drama	Short	NA
tt0001967	short	Life as It Is	5.9	11	1911	NA	Drama	Short	NA
tt0002020	short	Queen Elizabeth	4.5	136	1912	44	Biography	Drama	History
tt0002026	movie	Anny - Story of a Prostitute	4.5	14	1912	68	Drama	Romance	NA
tt0002113	short	The Conquest of the Pole	6.8	1070	1912	33	Adventure	Horror	Sci-Fi
tt0002136	short	Departure of a Grand Old Man	5.6	92	1912	31	Drama	Short	NA
tt0002144	short	La dramatique passion d'Algabert et d'Élisabeth de Rodembourg	5.1	17	1912	17	Drama	Short	NA
tt0002151	short	The Last Performance	5	31	1912	23	Drama	Short	NA
tt0002181	short	The Man with Wax Faces	6.1	209	1914	11	Horror	Short	NA
tt0002206	short	Le secret de l'acier	5.5	21	1912	20	Short	NA	NA
tt0002221	short	The Dragonfly and the Ant	6.7	456	1913	5	Animation	Fantasy	Short
tt0002226	short	Happy Scenes from Animal Life	5.7	63	1912	2	Animation	Short	NA
tt0002329	short	Today and Tomorrow	5.1	33	1912	41	Short	NA	NA
tt0002449	short	The Railway of Death	6.4	63	1912	17	Short	Western	NA
tt0002452	movie	The Independence of Romania	6.4	251	1912	120	History	War	NA
tt0002461	movie	The Life and Death of King Richard III	5.7	294	1912	55	Drama	NA	NA
tt0002477	short	Specter of the Sea	6.5	13	1912	40	Drama	Horror	Short
tt0002544	short	The Gardener	5.8	223	1912	24	Drama	Short	NA
tt0002555	movie	The Last Bohemian	4.6	44	1913	NA	Drama	Romance	NA
tt0002588	movie	Zigomar contre Nick Carter	5.9	43	1912	48	Crime	Thriller	NA
tt0002642	movie	The Heir to Skjoldborg	5.6	9	1914	50	Drama	NA	NA
tt0002656	short	Balaoo the Demon Baboon	5.5	46	1913	24	Horror	Short	NA
tt0002801	movie	The Black Diamond	5.6	24	1913	50	NA	NA	NA
tt0002844	movie	Fantômas: In the Shadow of the Guillotine	6.9	2361	1913	54	Crime	Drama	NA
tt0002863	short	The Film Primadonna	6.5	55	1913	17	Drama	Short	NA
tt0002917	movie	Brother Against Brother	5.6	43	1913	51	Drama	NA	NA
tt0002973	movie	Dr. Mawson in the Antarctic	5.8	21	1913	68	Documentary	NA	NA
tt0002983	short	A House Divided	6	523	1913	13	Comedy	Family	Short
tt0002996	movie	My Husband's Getting Married	3.7	30	1913	NA	Comedy	NA	NA
tt0002999	short	The Ideal Wife	5.4	30	1913	24	Comedy	Short	NA
tt0003015	movie	Die Insel der Seligen	4.7	65	1913	49	Comedy	Fantasy	NA
tt0003037	movie	Fantomas: The Man in Black	6.9	1602	1913	61	Crime	Drama	NA
tt0003044	short	Kri Kri e il tango	5.5	18	1913	4	Short	NA	NA
tt0003131	movie	War Is Hell	6.7	167	1914	50	Drama	War	NA
tt0003159	movie	Les Misérables, Part 2: Fantine	6.1	52	1913	300	Drama	NA	NA
tt0003214	short	Christmas Eve	6.2	295	1913	41	Comedy	Fantasy	Short
tt0003309	movie	Captive Souls	4.7	31	1914	99	NA	NA	NA
tt0003311	short	Raja Harishchandra	5.9	411	1913	40	History	Short	NA
tt0003345	short	S1	6.2	20	1913	40	Crime	Drama	Short
tt0003419	movie	The Student of Prague	6.4	2211	1913	85	Drama	Fantasy	Horror
tt0003441	movie	The Terrible Vengeance	6	18	1913	NA	NA	NA	NA
tt0003442	movie	Tess of the D'Urbervilles	5.8	26	1913	NA	Drama	Romance	NA
tt0003512	short	The Voyage of the Bourrichon Family	5	171	1913	15	Comedy	Short	NA
tt0003540	short	When the Earth Trembled	5.5	45	1913	19	Short	NA	NA
tt0003630	movie	Golddigger	4.6	28	1914	NA	Western	NA	NA
tt0003665	movie	The Battle of the Sexes	6.2	100	1914	50	Drama	NA	NA
tt0003740	movie	Cabiria	7.1	3701	1914	148	Adventure	Drama	History
tt0003819	short	Dance of the Vampire	7.6	20	1914	NA	Short	NA	NA
tt0003839	short	Child of the Big City	6.5	376	1914	37	Drama	Short	NA
tt0003930	movie	Fantomas: The Mysterious Finger Print	6.8	1363	1914	59	Crime	Drama	NA
tt0003934	short	The Fatal Mallet	5.4	1015	1914	18	Comedy	Short	NA
tt0003996	short	Miss Soapsuds	6.3	19	1914	10	Short	NA	NA
tt0004066	movie	Sealed Orders	6.8	640	1914	84	Drama	Mystery	NA
tt0004100	short	His Musical Career	5.9	1074	1914	16	Comedy	Short	NA
tt0004121	movie	The Hound of the Baskervilles (1914)	5.6	124	1914	65	Crime	Horror	Mystery
tt0004150	movie	In the Land of the Head Hunters	5.9	510	1914	65	Drama	History	NA
tt0004181	movie	Judith of Bethulia	6.3	1393	1914	61	Drama	NA	NA
tt0004199	movie	The Borrowed Babies	4.1	26	1915	NA	Comedy	NA	NA
tt0004325	movie	The Merchant of Venice	5.4	34	1914	NA	Drama	NA	NA
tt0004693	short	Those Love Pangs	5.4	1099	1914	16	Comedy	Short	NA
tt0004712	movie	The Undesirable	6.2	222	1915	67	Drama	NA	NA
tt0004743	movie	Uncle Tom's Cabin	5.6	174	1914	54	Drama	NA	NA
tt0004847	movie	Prisoner of the Night	4.2	27	1914	45	NA	NA	NA
